Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|	139265	140839	SRR2187350.1220282.1,SRR2187350.2897905.1,SRR2187350.3360886.1,SRR2187350.3801317.1,SRR2187350.1326957.2,SRR2187350.3360886.2,SRR2187350.3584622.2,SRR2187350.3801317.2,SRR2187350.707578.2	SRR2187350.3584622
BACT_413|gi|163805962|ref|NZ_ABGC03000031.1|	9187	10671	SRR2187350.3462118.1,SRR2187350.5000616.1,SRR2187350.5172572.1,SRR2187350.5334189.1,SRR2187350.809084.1,SRR2187350.1865266.2,SRR2187350.3462118.2,SRR2187350.471193.2,SRR2187350.5334189.2,SRR2187350.537760.2	SRR2187350.3408141,SRR2187350.2769289,SRR2187350.4402450,SRR2187350.5206700,SRR2187350.537760
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	381974	384899	SRR2187350.1766672.1,SRR2187350.1980967.1,SRR2187350.4586940.1,SRR2187350.2972764.2	SRR2187350.484886
BACT_413|gi|163805971|ref|NZ_ABGC03000040.1|	113552	115686	SRR2187350.3365731.1,SRR2187350.3642668.1,SRR2187350.3927099.1,SRR2187350.483464.1,SRR2187350.3927099.2,SRR2187350.483464.2	
BACT_539|gi|238922432|ref|NC_012781.1|	1900318	1902191	SRR2187350.3316389.1,SRR2187350.3352108.1,SRR2187350.4217329.1,SRR2187350.4597627.1,SRR2187350.2403695.2,SRR2187350.3316389.2	
BACT_413|gi|163805972|ref|NZ_ABGC03000041.1|	36784	83369	SRR2187350.2586564.1,SRR2187350.5342671.1,SRR2187350.2495141.2,SRR2187350.2586564.2,SRR2187350.3157230.2,SRR2187350.5342671.2	
BACT_282|gi|226334739|ref|NZ_ABWN01000020.1|	37411	44914	SRR2187350.2696160.1,SRR2187350.3628679.1,SRR2187350.4533448.1,SRR2187350.4969995.1,SRR2187350.3628679.2,SRR2187350.3792323.2,SRR2187350.5203810.2	SRR2187350.1151527
BACT_539|gi|238922432|ref|NC_012781.1|	567392	585792	SRR2187350.1882763.1,SRR2187350.3027284.1,SRR2187350.3851316.1,SRR2187350.4506983.1,SRR2187350.576269.1,SRR2187350.576269.2	SRR2187350.273316,SRR2187350.3874140,SRR2187350.863239
BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|	170446	173459	SRR2187350.1055558.1,SRR2187350.135904.1,SRR2187350.1695629.1,SRR2187350.3816463.1,SRR2187350.4346829.1,SRR2187350.4502196.1,SRR2187350.4665930.1,SRR2187350.4671913.1,SRR2187350.4960386.1,SRR2187350.5260771.1,SRR2187350.2707277.2,SRR2187350.3816463.2,SRR2187350.4109756.2,SRR2187350.4339643.2,SRR2187350.4502196.2	SRR2187350.4109756,SRR2187350.4769436,SRR2187350.1086668,SRR2187350.2893971
BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|	2971	6357	SRR2187350.1049214.1,SRR2187350.1168061.1,SRR2187350.2587462.1,SRR2187350.259523.1,SRR2187350.4846037.1,SRR2187350.5227919.1,SRR2187350.2587462.2,SRR2187350.259523.2,SRR2187350.2885390.2,SRR2187350.3867962.2,SRR2187350.4110278.2,SRR2187350.4846037.2	SRR2187350.3930029,SRR2187350.1213453,SRR2187350.2885390,SRR2187350.5177201
BACT_1002|gi|224993843|ref|NZ_ACFY01000152.1|	40330	42249	SRR2187350.3628505.1,SRR2187350.937935.1,SRR2187350.3628505.2,SRR2187350.4130824.2,SRR2187350.4733518.2	SRR2187350.1796776,SRR2187350.3994195
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	169339	191881	SRR2187350.2527228.1,SRR2187350.2895167.1,SRR2187350.2912852.1,SRR2187350.3991420.1,SRR2187350.4046791.1,SRR2187350.876138.1,SRR2187350.948532.1,SRR2187350.2402706.2,SRR2187350.2527228.2,SRR2187350.2746249.2,SRR2187350.445684.2,SRR2187350.4566172.2,SRR2187350.876138.2	SRR2187350.4188846
BACT_546|gi|160944587|ref|NZ_ABED02000028.1|	113442	114904	SRR2187350.249189.1,SRR2187350.2655603.1,SRR2187350.368334.1,SRR2187350.4417539.1,SRR2187350.4799129.1,SRR2187350.179675.2,SRR2187350.249189.2,SRR2187350.3713398.2,SRR2187350.4417539.2	SRR2187350.179675,SRR2187350.3713398
BACT_1001|gi|239935061|ref|NZ_ABYJ02000254.1|	6606	9257	SRR2187350.2314188.1,SRR2187350.3312293.1,SRR2187350.3906889.1,SRR2187350.1920898.2	
BACT_1002|gi|224993721|ref|NZ_ACFY01000030.1|	8846	11704	SRR2187350.2309861.1,SRR2187350.4517820.1,SRR2187350.1454844.2,SRR2187350.2309861.2,SRR2187350.2493892.2,SRR2187350.4369687.2,SRR2187350.5314401.2,SRR2187350.673451.2	SRR2187350.2493892
BACT_539|gi|238922432|ref|NC_012781.1|	1198337	1211368	SRR2187350.1902647.1,SRR2187350.2066514.1,SRR2187350.5082199.1,SRR2187350.997548.1,SRR2187350.5082199.2	SRR2187350.3761728
BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|	203463	211013	SRR2187350.1374483.1,SRR2187350.3054890.1,SRR2187350.3214238.1,SRR2187350.5145191.1,SRR2187350.927714.1,SRR2187350.129023.2,SRR2187350.1374483.2,SRR2187350.3333394.2	SRR2187350.12792,SRR2187350.3654188,SRR2187350.2932974,SRR2187350.3333394
BACT_539|gi|238922432|ref|NC_012781.1|	1069269	1071234	SRR2187350.1230713.1,SRR2187350.1165297.2,SRR2187350.2459111.2,SRR2187350.4728685.2,SRR2187350.74666.2	SRR2187350.2459111,SRR2187350.5082835,SRR2187350.5266847,SRR2187350.4728685
