Scaffolds	Split Site 1	Split Site 2	Supporting Split Reads	Supporting Read Pairs(first in pair)
BACT_413|gi|163805962|ref|NZ_ABGC03000031.1|	9187	10671	SRR2187354.2518128.1,SRR2187354.2580250.1,SRR2187354.4126142.1,SRR2187354.814061.1,SRR2187354.2876828.2,SRR2187354.3653547.2,SRR2187354.4126142.2,SRR2187354.4877645.2	SRR2187354.3653547,SRR2187354.2876828
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	381974	384899	SRR2187354.258985.1,SRR2187354.2779392.1,SRR2187354.5065886.1,SRR2187354.5445000.1,SRR2187354.5476661.1,SRR2187354.1203309.2,SRR2187354.258985.2,SRR2187354.5445000.2,SRR2187354.5476661.2,SRR2187354.5484276.2	
BACT_1023|gi|138310355|ref|NZ_AAVO02000002.1|	89781	93928	SRR2187354.1393643.1,SRR2187354.2368802.1,SRR2187354.466579.2,SRR2187354.5406390.2	
BACT_413|gi|163805971|ref|NZ_ABGC03000040.1|	113552	115686	SRR2187354.3998970.1,SRR2187354.5663424.1,SRR2187354.5705785.1,SRR2187354.865403.1,SRR2187354.1374235.2,SRR2187354.2860757.2,SRR2187354.396934.2,SRR2187354.3998970.2,SRR2187354.4395897.2,SRR2187354.53732.2	SRR2187354.5469197,SRR2187354.1507039,SRR2187354.366466
BACT_1024|gi|226332901|gb|ACII01000118.1|	4883	7253	SRR2187354.4759272.1,SRR2187354.5294375.1,SRR2187354.3246385.2,SRR2187354.3537517.2,SRR2187354.4759272.2,SRR2187354.5075135.2,SRR2187354.5294375.2	SRR2187354.5075135,SRR2187354.3537517
BACT_413|gi|163805972|ref|NZ_ABGC03000041.1|	36784	83369	SRR2187354.2172600.1,SRR2187354.5690112.1,SRR2187354.2887068.2,SRR2187354.3626248.2,SRR2187354.4959567.2	SRR2187354.182859,SRR2187354.3626248,SRR2187354.4959567,SRR2187354.2887068
BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|	2971	6357	SRR2187354.2469388.1,SRR2187354.3017476.1,SRR2187354.4475263.1,SRR2187354.473194.1,SRR2187354.5729912.1,SRR2187354.774412.1,SRR2187354.9611.1,SRR2187354.966741.1,SRR2187354.1410723.2,SRR2187354.2397291.2,SRR2187354.3017476.2,SRR2187354.3598172.2,SRR2187354.4475263.2,SRR2187354.473194.2,SRR2187354.886879.2,SRR2187354.9611.2,SRR2187354.966741.2	SRR2187354.2250443,SRR2187354.1277955,SRR2187354.2401287,SRR2187354.4391108,SRR2187354.1337541
BACT_282|gi|226334739|ref|NZ_ABWN01000020.1|	37411	44914	SRR2187354.1191625.1,SRR2187354.5401991.1,SRR2187354.3217531.2,SRR2187354.5401991.2,SRR2187354.5644924.2,SRR2187354.970798.2	
BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|	170446	173459	SRR2187354.1078868.1,SRR2187354.1334186.1,SRR2187354.4185332.1,SRR2187354.4686619.1,SRR2187354.5206175.1,SRR2187354.4185332.2,SRR2187354.4686619.2,SRR2187354.4825773.2	SRR2187354.2551089,SRR2187354.838123
BACT_546|gi|160942803|ref|NZ_ABED02000015.1|	35450	37788	SRR2187354.2257709.1,SRR2187354.537145.1,SRR2187354.3336299.2,SRR2187354.4295988.2	SRR2187354.4295988
BACT_1002|gi|224993843|ref|NZ_ACFY01000152.1|	40330	42249	SRR2187354.1947218.1,SRR2187354.4596729.1,SRR2187354.4600200.1,SRR2187354.3848419.2	SRR2187354.3412524
BACT_546|gi|160944587|ref|NZ_ABED02000028.1|	113442	114904	SRR2187354.1227535.1,SRR2187354.1741123.1,SRR2187354.2941433.1,SRR2187354.1227535.2,SRR2187354.1734049.2,SRR2187354.2841003.2	SRR2187354.3591673,SRR2187354.4198491,SRR2187354.3643417
BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|	169339	191881	SRR2187354.1126439.1,SRR2187354.2530153.1,SRR2187354.4058750.1,SRR2187354.4076498.1,SRR2187354.5191657.1,SRR2187354.900862.1,SRR2187354.4058750.2,SRR2187354.4076498.2,SRR2187354.4785579.2,SRR2187354.900862.2	SRR2187354.4785579
BACT_1002|gi|224993721|ref|NZ_ACFY01000030.1|	8846	11704	SRR2187354.5458579.1,SRR2187354.1740327.2,SRR2187354.1784145.2,SRR2187354.3728054.2	SRR2187354.5410882
BACT_539|gi|238922432|ref|NC_012781.1|	1069269	1071234	SRR2187354.1734988.1,SRR2187354.302117.1,SRR2187354.4484293.1,SRR2187354.5826987.1	SRR2187354.5284826,SRR2187354.2040363
BACT_539|gi|238922432|ref|NC_012781.1|	1198337	1211368	SRR2187354.1091847.1,SRR2187354.127674.1,SRR2187354.1298055.1,SRR2187354.1646330.1,SRR2187354.2651844.1,SRR2187354.4655387.1,SRR2187354.3053080.2,SRR2187354.537953.2	SRR2187354.3538188
BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|	203463	211013	SRR2187354.1061287.1,SRR2187354.1227854.1,SRR2187354.2409302.1,SRR2187354.4011167.1,SRR2187354.4512456.1,SRR2187354.5897508.1,SRR2187354.3296620.2	SRR2187354.5800989
