"","SRR","Date","Candidate","Scaffolds","Split.Site.1","Split.Site.2","Supporting.Split.Reads","Supporting.Read.Pairs.first.in.pair."
"138","SRR2189226","2013-05-13","A","BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|",2971,6357,"SRR2189226.147446.1,SRR2189226.1542930.1,SRR2189226.1928554.1,SRR2189226.2334292.1,SRR2189226.3326618.1,SRR2189226.3932452.1,SRR2189226.4486479.1,SRR2189226.4635047.1,SRR2189226.1542930.2,SRR2189226.3326618.2,SRR2189226.5211130.2,SRR2189226.82796.2,SRR2189226.931417.2,SRR2189226.960973.2","SRR2189226.3110643,SRR2189226.3435424,SRR2189226.3436019,SRR2189226.2354907,SRR2189226.2291960,SRR2189226.2271408,SRR2189226.4857946,SRR2189226.315320,SRR2189226.1085653,SRR2189226.4175040"
"139","SRR2189226","2013-05-13","A","BACT_282|gi|226334739|ref|NZ_ABWN01000020.1|",37411,44914,"SRR2189226.1233116.1,SRR2189226.1591862.1,SRR2189226.1799827.1,SRR2189226.2895136.1,SRR2189226.3801335.1,SRR2189226.1085659.2,SRR2189226.152944.2,SRR2189226.2844376.2,SRR2189226.402929.2,SRR2189226.5052712.2",""
"140","SRR2189226","2013-05-13","A","BACT_539|gi|238922432|ref|NC_012781.1|",3131821,3136092,"SRR2189226.1463974.1,SRR2189226.1773394.1,SRR2189226.447560.1,SRR2189226.468268.2",""
"299","SRR2227895","2013-05-13","A",NA,NA,NA,NA,NA
"300","SRR2227889","2013-05-13","A",NA,NA,NA,NA,NA
"301","SRR2227849","2013-05-13","A",NA,NA,NA,NA,NA
"302","SRR2227985","2013-05-13","A",NA,NA,NA,NA,NA
"206","SRR2194076","2013-05-14","A",NA,NA,NA,NA,NA
"232","SRR2227822","2013-05-14","A",NA,NA,NA,NA,NA
"233","SRR2227932","2013-05-14","A",NA,NA,NA,NA,NA
"234","SRR2227919","2013-05-14","A",NA,NA,NA,NA,NA
"235","SRR2227949","2013-05-14","A",NA,NA,NA,NA,NA
"142","SRR2193919","2013-05-15","A","BACT_539|gi|238922432|ref|NC_012781.1|",696646,739525,"SRR2193919.4295227.1,SRR2193919.6128572.1,SRR2193919.3020628.2,SRR2193919.5823447.2,SRR2193919.6128572.2","SRR2193919.3020628"
"143","SRR2193919","2013-05-15","A","BACT_1002|gi|224993717|ref|NZ_ACFY01000026.1|",15061,20521,"SRR2193919.2476353.1,SRR2193919.436138.1,SRR2193919.5430412.1,SRR2193919.436138.2",""
"144","SRR2193919","2013-05-15","A","BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|",659146,660471,"SRR2193919.2925301.1,SRR2193919.5695576.1,SRR2193919.573659.1,SRR2193919.636757.1,SRR2193919.3896328.2,SRR2193919.5695576.2","SRR2193919.1412503"
"145","SRR2193919","2013-05-15","A","BACT_418|gi|139439345|ref|NZ_AAVN02000008.1|",6287,7709,"SRR2193919.3445404.1,SRR2193919.87232.1,SRR2193919.3445404.2,SRR2193919.633314.2","SRR2193919.633314"
"146","SRR2193919","2013-05-15","A","BACT_194|gi|163805984|ref|NZ_ABFZ02000010.1|",29254,30579,"SRR2193919.2946880.1,SRR2193919.2669315.2,SRR2193919.4478027.2,SRR2193919.4943355.2","SRR2193919.4943355"
"147","SRR2193919","2013-05-15","A","BACT_196|gi|150002608|ref|NC_009614.1|",1646547,1649077,"SRR2193919.1187549.1,SRR2193919.268061.1,SRR2193919.3310531.1,SRR2193919.3974983.1,SRR2193919.5305101.1,SRR2193919.5517970.1,SRR2193919.5547789.1,SRR2193919.5616768.1,SRR2193919.63026.1,SRR2193919.2245973.2,SRR2193919.2949764.2","SRR2193919.2557758,SRR2193919.2165727,SRR2193919.1033428,SRR2193919.173053,SRR2193919.361353,SRR2193919.3286179"
"148","SRR2193919","2013-05-15","A","BACT_1002|gi|224993784|ref|NZ_ACFY01000093.1|",10027,11134,"SRR2193919.325759.1,SRR2193919.3302679.1,SRR2193919.36220.1,SRR2193919.3302679.2,SRR2193919.36220.2,SRR2193919.5482916.2","SRR2193919.4328370"
"149","SRR2193919","2013-05-15","A","BACT_1002|gi|224993782|ref|NZ_ACFY01000091.1|",48562,50309,"SRR2193919.1358030.1,SRR2193919.2151817.1,SRR2193919.2296038.1,SRR2193919.3625328.1,SRR2193919.2296038.2",""
"150","SRR2193919","2013-05-15","A","BACT_1312|gi|293371863|ref|NZ_ADMO01000094.1|",15204,17309,"SRR2193919.1203828.1,SRR2193919.2799090.1,SRR2193919.2863881.1,SRR2193919.4448079.1,SRR2193919.5050880.1,SRR2193919.888597.1,SRR2193919.2799090.2,SRR2193919.3331751.2,SRR2193919.3843414.2,SRR2193919.4448079.2","SRR2193919.2645068"
"151","SRR2193919","2013-05-15","A","BACT_539|gi|238922432|ref|NC_012781.1|",1126899,1128826,"SRR2193919.4746445.1,SRR2193919.5161235.1,SRR2193919.2727941.2,SRR2193919.5460529.2","SRR2193919.5580074,SRR2193919.5460529,SRR2193919.5282568"
"152","SRR2193919","2013-05-15","A","BACT_1023|gi|138310566|ref|NZ_AAVO02000011.1|",92761,95582,"SRR2193919.1138361.1,SRR2193919.472656.1,SRR2193919.1484565.2,SRR2193919.472656.2",""
"153","SRR2193919","2013-05-15","A","BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|",2971,6357,"SRR2193919.4065338.1,SRR2193919.4518848.1,SRR2193919.1051522.2,SRR2193919.3568406.2,SRR2193919.4065338.2,SRR2193919.5138176.2","SRR2193919.1051522,SRR2193919.6106514,SRR2193919.3758674"
"154","SRR2193919","2013-05-15","A","BACT_1002|gi|224993782|ref|NZ_ACFY01000091.1|",63141,85830,"SRR2193919.4634235.1,SRR2193919.4772441.1,SRR2193919.4634235.2,SRR2193919.5783164.2","SRR2193919.5783164"
"155","SRR2193919","2013-05-15","A","BACT_546|gi|160944587|ref|NZ_ABED02000028.1|",113442,114904,"SRR2193919.2672730.1,SRR2193919.2784349.1,SRR2193919.2784349.2,SRR2193919.4633873.2",""
"156","SRR2193919","2013-05-15","A","BACT_418|gi|139436870|ref|NZ_AAVN02000001.1|",296601,298139,"SRR2193919.1088054.1,SRR2193919.1170759.1,SRR2193919.3058651.1,SRR2193919.716911.1,SRR2193919.3058651.2,SRR2193919.3978980.2,SRR2193919.4429371.2,SRR2193919.738581.2",""
"220","SRR2243657","2013-05-15","A",NA,NA,NA,NA,NA
"221","SRR2245337","2013-05-15","A",NA,NA,NA,NA,NA
"222","SRR2245536","2013-05-15","A",NA,NA,NA,NA,NA
"223","SRR2243534","2013-05-15","A",NA,NA,NA,NA,NA
"203","SRR2194622","2013-05-16","A",NA,NA,NA,NA,NA
"212","SRR2243803","2013-05-16","A",NA,NA,NA,NA,NA
"213","SRR2244468","2013-05-16","A",NA,NA,NA,NA,NA
"214","SRR2243583","2013-05-16","A",NA,NA,NA,NA,NA
"215","SRR2243549","2013-05-16","A",NA,NA,NA,NA,NA
"170","SRR2191167","2013-05-17","A",NA,NA,NA,NA,NA
"273","SRR2237727","2013-05-17","A",NA,NA,NA,NA,NA
"274","SRR2236667","2013-05-17","A",NA,NA,NA,NA,NA
"275","SRR2236520","2013-05-17","A",NA,NA,NA,NA,NA
"276","SRR2236780","2013-05-17","A",NA,NA,NA,NA,NA
"64","SRR2187353","2013-05-18","A","BACT_194|gi|163805996|ref|NZ_ABFZ02000022.1|",281397,282722,"SRR2187353.6053496.1,SRR2187353.1150770.2,SRR2187353.1285257.2,SRR2187353.4953855.2,SRR2187353.6053496.2","SRR2187353.1285257,SRR2187353.3750407"
"65","SRR2187353","2013-05-18","A","BACT_418|gi|139436870|ref|NZ_AAVN02000001.1|",376164,377526,"SRR2187353.193273.1,SRR2187353.452954.1,SRR2187353.193273.2,SRR2187353.2780373.2",""
"66","SRR2187353","2013-05-18","A","BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|",659146,660471,"SRR2187353.3249515.1,SRR2187353.6702038.1,SRR2187353.741914.1,SRR2187353.1670454.2,SRR2187353.3249515.2,SRR2187353.5404286.2,SRR2187353.6489591.2,SRR2187353.6702038.2,SRR2187353.741914.2","SRR2187353.3353115,SRR2187353.1670454"
"67","SRR2187353","2013-05-18","A","BACT_194|gi|163805994|ref|NZ_ABFZ02000020.1|",325232,326695,"SRR2187353.2799669.1,SRR2187353.3386930.1,SRR2187353.6072272.1,SRR2187353.2799669.2,SRR2187353.3386930.2","SRR2187353.1989751"
"68","SRR2187353","2013-05-18","A","BACT_539|gi|238922432|ref|NC_012781.1|",1493480,1495385,"SRR2187353.1146603.1,SRR2187353.1155318.1,SRR2187353.2360298.1,SRR2187353.3245421.1,SRR2187353.952438.2",""
"69","SRR2187353","2013-05-18","A","BACT_196|gi|150002608|ref|NC_009614.1|",1646547,1649077,"SRR2187353.5724368.1,SRR2187353.121597.2,SRR2187353.1320171.2,SRR2187353.5724368.2,SRR2187353.6372986.2","SRR2187353.6735422,SRR2187353.121597"
"70","SRR2187353","2013-05-18","A","BACT_194|gi|163805984|ref|NZ_ABFZ02000010.1|",29254,30579,"SRR2187353.2297495.1,SRR2187353.2708791.1,SRR2187353.6691641.1,SRR2187353.870519.1,SRR2187353.2708791.2,SRR2187353.2729613.2,SRR2187353.6594815.2",""
"71","SRR2187353","2013-05-18","A","BACT_1002|gi|224993722|ref|NZ_ACFY01000031.1|",4235,7513,"SRR2187353.4079275.1,SRR2187353.5163925.1,SRR2187353.1662736.2,SRR2187353.5163925.2",""
"72","SRR2187353","2013-05-18","A","BACT_413|gi|163805965|ref|NZ_ABGC03000034.1|",64896,127479,"SRR2187353.319134.1,SRR2187353.3567558.1,SRR2187353.3567558.2,SRR2187353.3652390.2","SRR2187353.2076346,SRR2187353.5179489"
"73","SRR2187353","2013-05-18","A","BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|",139265,140839,"SRR2187353.1276305.1,SRR2187353.127012.2,SRR2187353.3424113.2,SRR2187353.547628.2","SRR2187353.547628,SRR2187353.3424113"
"74","SRR2187353","2013-05-18","A","BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|",381974,384899,"SRR2187353.4273306.1,SRR2187353.5453561.1,SRR2187353.5722786.1,SRR2187353.3064793.2,SRR2187353.3288250.2","SRR2187353.3288250"
"75","SRR2187353","2013-05-18","A","BACT_1001|gi|239935061|ref|NZ_ABYJ02000254.1|",11310,13336,"SRR2187353.1695359.1,SRR2187353.3945257.1,SRR2187353.772620.1,SRR2187353.84179.1,SRR2187353.3293249.2,SRR2187353.4085546.2,SRR2187353.84179.2","SRR2187353.4085546"
"76","SRR2187353","2013-05-18","A","BACT_1023|gi|138310566|ref|NZ_AAVO02000011.1|",92761,95582,"SRR2187353.520663.1,SRR2187353.6370477.1,SRR2187353.826678.1,SRR2187353.939553.1,SRR2187353.34897.2,SRR2187353.6033849.2,SRR2187353.787402.2,SRR2187353.826678.2,SRR2187353.85279.2","SRR2187353.6620795"
"77","SRR2187353","2013-05-18","A","BACT_194|gi|163805997|ref|NZ_ABFZ02000023.1|",410046,420673,"SRR2187353.2133893.1,SRR2187353.2698241.1,SRR2187353.3645586.1,SRR2187353.4902744.1,SRR2187353.4902744.2","SRR2187353.4338126"
"78","SRR2187353","2013-05-18","A","BACT_539|gi|238922432|ref|NC_012781.1|",1900318,1902191,"SRR2187353.1126751.1,SRR2187353.2897894.1,SRR2187353.186931.2,SRR2187353.2897894.2","SRR2187353.6054020"
"79","SRR2187353","2013-05-18","A","BACT_221|gi|222444353|ref|NZ_ABXX02000001.1|",540977,542990,"SRR2187353.2171791.1,SRR2187353.2367107.1,SRR2187353.2792481.1,SRR2187353.4545860.1","SRR2187353.6633552"
"80","SRR2187353","2013-05-18","A","BACT_221|gi|222444354|ref|NZ_ABXX02000002.1|",151318,152514,"SRR2187353.1427845.1,SRR2187353.466349.1,SRR2187353.6161065.1,SRR2187353.739725.1,SRR2187353.168956.2,SRR2187353.6161065.2,SRR2187353.6369039.2","SRR2187353.2548492,SRR2187353.1155649,SRR2187353.1344714,SRR2187353.168956"
"81","SRR2187353","2013-05-18","A","BACT_546|gi|160942803|ref|NZ_ABED02000015.1|",35450,37788,"SRR2187353.2644783.2,SRR2187353.3470399.2,SRR2187353.5235869.2,SRR2187353.569204.2","SRR2187353.5910340,SRR2187353.3470399,SRR2187353.5235869"
"82","SRR2187353","2013-05-18","A","BACT_546|gi|160944587|ref|NZ_ABED02000028.1|",113442,114904,"SRR2187353.4213913.1,SRR2187353.5242741.1,SRR2187353.1671613.2,SRR2187353.2749578.2,SRR2187353.3293197.2,SRR2187353.4720092.2,SRR2187353.5741701.2,SRR2187353.841199.2","SRR2187353.5208550,SRR2187353.5741701"
"83","SRR2187353","2013-05-18","A","BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|",169339,191881,"SRR2187353.1925937.1,SRR2187353.816346.1,SRR2187353.1501784.2,SRR2187353.6460540.2","SRR2187353.6152706,SRR2187353.1501784"
"84","SRR2187353","2013-05-18","A","BACT_539|gi|238922432|ref|NC_012781.1|",1069269,1071234,"SRR2187353.4987537.1,SRR2187353.504271.1,SRR2187353.5447094.1,SRR2187353.130745.2","SRR2187353.3721858,SRR2187353.5536988,SRR2187353.906334"
"236","SRR2244169","2013-05-18","A",NA,NA,NA,NA,NA
"237","SRR2244182","2013-05-18","A",NA,NA,NA,NA,NA
"238","SRR2244755","2013-05-18","A",NA,NA,NA,NA,NA
"239","SRR2244708","2013-05-18","A",NA,NA,NA,NA,NA
"174","SRR2193823","2013-05-19","A",NA,NA,NA,NA,NA
"181","SRR2223599","2013-05-19","A",NA,NA,NA,NA,NA
"182","SRR2223748","2013-05-19","A",NA,NA,NA,NA,NA
"183","SRR2223923","2013-05-19","A",NA,NA,NA,NA,NA
"184","SRR2224038","2013-05-19","A",NA,NA,NA,NA,NA
"85","SRR2187354","2013-05-20","A","BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|",11675,19625,"SRR2187354.2730767.1,SRR2187354.3578801.1,SRR2187354.704450.1,SRR2187354.85157.1,SRR2187354.866248.1,SRR2187354.3578801.2,SRR2187354.704450.2,SRR2187354.866248.2","SRR2187354.5200797,SRR2187354.4309929,SRR2187354.924715"
"86","SRR2187354","2013-05-20","A","BACT_539|gi|238922432|ref|NC_012781.1|",2043282,2044621,"SRR2187354.2213743.1,SRR2187354.2751322.1,SRR2187354.3339376.2,SRR2187354.5093960.2",""
"87","SRR2187354","2013-05-20","A","BACT_413|gi|163805958|ref|NZ_ABGC03000027.1|",9527,12666,"SRR2187354.1728125.1,SRR2187354.2754647.1,SRR2187354.4173486.1,SRR2187354.4409823.1,SRR2187354.4508576.1,SRR2187354.4559462.1,SRR2187354.5262415.1,SRR2187354.5359737.1,SRR2187354.5559083.1,SRR2187354.134571.2,SRR2187354.1728125.2,SRR2187354.1729315.2,SRR2187354.2132489.2,SRR2187354.2404886.2,SRR2187354.350051.2,SRR2187354.3679431.2,SRR2187354.4559462.2,SRR2187354.5559083.2,SRR2187354.5704409.2","SRR2187354.1729315"
"88","SRR2187354","2013-05-20","A","BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|",53790,72413,"SRR2187354.1145715.1,SRR2187354.1207372.1,SRR2187354.4274085.1,SRR2187354.2282088.2,SRR2187354.817284.2,SRR2187354.887673.2","SRR2187354.3856001,SRR2187354.5626447,SRR2187354.817284"
"89","SRR2187354","2013-05-20","A","BACT_539|gi|238922432|ref|NC_012781.1|",3209542,3211447,"SRR2187354.5096110.1,SRR2187354.1332835.2,SRR2187354.3587199.2,SRR2187354.4701537.2,SRR2187354.546076.2,SRR2187354.774385.2","SRR2187354.4381917,SRR2187354.3587199"
"90","SRR2187354","2013-05-20","A","BACT_539|gi|238922432|ref|NC_012781.1|",1493480,1495385,"SRR2187354.1450986.1,SRR2187354.2458677.1,SRR2187354.388741.1,SRR2187354.2458677.2","SRR2187354.1231410,SRR2187354.690026"
"91","SRR2187354","2013-05-20","A","BACT_413|gi|163805942|ref|NZ_ABGC03000011.1|",12689,14562,"SRR2187354.3288594.1,SRR2187354.663808.1,SRR2187354.1395361.2,SRR2187354.1809628.2,SRR2187354.3288594.2","SRR2187354.1395361,SRR2187354.1809628"
"92","SRR2187354","2013-05-20","A","BACT_413|gi|163805963|ref|NZ_ABGC03000032.1|",139265,140839,"SRR2187354.2839665.1,SRR2187354.3379633.1,SRR2187354.5873013.1,SRR2187354.652201.1,SRR2187354.1305538.2,SRR2187354.139415.2,SRR2187354.2007405.2,SRR2187354.3818361.2,SRR2187354.4749854.2,SRR2187354.652201.2","SRR2187354.551053,SRR2187354.1305538"
"93","SRR2187354","2013-05-20","A","BACT_413|gi|163805951|ref|NZ_ABGC03000020.1|",29255,30830,"SRR2187354.2382894.1,SRR2187354.2765007.1,SRR2187354.5583512.1,SRR2187354.5888723.1,SRR2187354.1118633.2,SRR2187354.281606.2,SRR2187354.2950362.2,SRR2187354.3034598.2","SRR2187354.1275903,SRR2187354.1083745,SRR2187354.3034598,SRR2187354.360006,SRR2187354.2888023,SRR2187354.2950362,SRR2187354.1118633"
"94","SRR2187354","2013-05-20","A","BACT_413|gi|163805965|ref|NZ_ABGC03000034.1|",64896,127479,"SRR2187354.1813658.1,SRR2187354.4575374.1,SRR2187354.1813658.2,SRR2187354.3339078.2","SRR2187354.3339078"
"95","SRR2187354","2013-05-20","A","BACT_1002|gi|224993722|ref|NZ_ACFY01000031.1|",4235,7513,"SRR2187354.1285428.1,SRR2187354.3855101.1,SRR2187354.1285428.2,SRR2187354.5682414.2","SRR2187354.5380031,SRR2187354.5682414"
"96","SRR2187354","2013-05-20","A","BACT_413|gi|163805962|ref|NZ_ABGC03000031.1|",9187,10671,"SRR2187354.2518128.1,SRR2187354.2580250.1,SRR2187354.4126142.1,SRR2187354.814061.1,SRR2187354.2876828.2,SRR2187354.3653547.2,SRR2187354.4126142.2,SRR2187354.4877645.2","SRR2187354.3653547,SRR2187354.2876828"
"97","SRR2187354","2013-05-20","A","BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|",381974,384899,"SRR2187354.258985.1,SRR2187354.2779392.1,SRR2187354.5065886.1,SRR2187354.5445000.1,SRR2187354.5476661.1,SRR2187354.1203309.2,SRR2187354.258985.2,SRR2187354.5445000.2,SRR2187354.5476661.2,SRR2187354.5484276.2",""
"98","SRR2187354","2013-05-20","A","BACT_1023|gi|138310355|ref|NZ_AAVO02000002.1|",89781,93928,"SRR2187354.1393643.1,SRR2187354.2368802.1,SRR2187354.466579.2,SRR2187354.5406390.2",""
"99","SRR2187354","2013-05-20","A","BACT_413|gi|163805971|ref|NZ_ABGC03000040.1|",113552,115686,"SRR2187354.3998970.1,SRR2187354.5663424.1,SRR2187354.5705785.1,SRR2187354.865403.1,SRR2187354.1374235.2,SRR2187354.2860757.2,SRR2187354.396934.2,SRR2187354.3998970.2,SRR2187354.4395897.2,SRR2187354.53732.2","SRR2187354.5469197,SRR2187354.1507039,SRR2187354.366466"
"100","SRR2187354","2013-05-20","A","BACT_1024|gi|226332901|gb|ACII01000118.1|",4883,7253,"SRR2187354.4759272.1,SRR2187354.5294375.1,SRR2187354.3246385.2,SRR2187354.3537517.2,SRR2187354.4759272.2,SRR2187354.5075135.2,SRR2187354.5294375.2","SRR2187354.5075135,SRR2187354.3537517"
"101","SRR2187354","2013-05-20","A","BACT_413|gi|163805972|ref|NZ_ABGC03000041.1|",36784,83369,"SRR2187354.2172600.1,SRR2187354.5690112.1,SRR2187354.2887068.2,SRR2187354.3626248.2,SRR2187354.4959567.2","SRR2187354.182859,SRR2187354.3626248,SRR2187354.4959567,SRR2187354.2887068"
"102","SRR2187354","2013-05-20","A","BACT_1002|gi|224993842|ref|NZ_ACFY01000151.1|",2971,6357,"SRR2187354.2469388.1,SRR2187354.3017476.1,SRR2187354.4475263.1,SRR2187354.473194.1,SRR2187354.5729912.1,SRR2187354.774412.1,SRR2187354.9611.1,SRR2187354.966741.1,SRR2187354.1410723.2,SRR2187354.2397291.2,SRR2187354.3017476.2,SRR2187354.3598172.2,SRR2187354.4475263.2,SRR2187354.473194.2,SRR2187354.886879.2,SRR2187354.9611.2,SRR2187354.966741.2","SRR2187354.2250443,SRR2187354.1277955,SRR2187354.2401287,SRR2187354.4391108,SRR2187354.1337541"
"103","SRR2187354","2013-05-20","A","BACT_282|gi|226334739|ref|NZ_ABWN01000020.1|",37411,44914,"SRR2187354.1191625.1,SRR2187354.5401991.1,SRR2187354.3217531.2,SRR2187354.5401991.2,SRR2187354.5644924.2,SRR2187354.970798.2",""
"104","SRR2187354","2013-05-20","A","BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|",170446,173459,"SRR2187354.1078868.1,SRR2187354.1334186.1,SRR2187354.4185332.1,SRR2187354.4686619.1,SRR2187354.5206175.1,SRR2187354.4185332.2,SRR2187354.4686619.2,SRR2187354.4825773.2","SRR2187354.2551089,SRR2187354.838123"
"105","SRR2187354","2013-05-20","A","BACT_546|gi|160942803|ref|NZ_ABED02000015.1|",35450,37788,"SRR2187354.2257709.1,SRR2187354.537145.1,SRR2187354.3336299.2,SRR2187354.4295988.2","SRR2187354.4295988"
"106","SRR2187354","2013-05-20","A","BACT_1002|gi|224993843|ref|NZ_ACFY01000152.1|",40330,42249,"SRR2187354.1947218.1,SRR2187354.4596729.1,SRR2187354.4600200.1,SRR2187354.3848419.2","SRR2187354.3412524"
"107","SRR2187354","2013-05-20","A","BACT_546|gi|160944587|ref|NZ_ABED02000028.1|",113442,114904,"SRR2187354.1227535.1,SRR2187354.1741123.1,SRR2187354.2941433.1,SRR2187354.1227535.2,SRR2187354.1734049.2,SRR2187354.2841003.2","SRR2187354.3591673,SRR2187354.4198491,SRR2187354.3643417"
"108","SRR2187354","2013-05-20","A","BACT_413|gi|163805973|ref|NZ_ABGC03000042.1|",169339,191881,"SRR2187354.1126439.1,SRR2187354.2530153.1,SRR2187354.4058750.1,SRR2187354.4076498.1,SRR2187354.5191657.1,SRR2187354.900862.1,SRR2187354.4058750.2,SRR2187354.4076498.2,SRR2187354.4785579.2,SRR2187354.900862.2","SRR2187354.4785579"
"109","SRR2187354","2013-05-20","A","BACT_1002|gi|224993721|ref|NZ_ACFY01000030.1|",8846,11704,"SRR2187354.5458579.1,SRR2187354.1740327.2,SRR2187354.1784145.2,SRR2187354.3728054.2","SRR2187354.5410882"
"110","SRR2187354","2013-05-20","A","BACT_539|gi|238922432|ref|NC_012781.1|",1069269,1071234,"SRR2187354.1734988.1,SRR2187354.302117.1,SRR2187354.4484293.1,SRR2187354.5826987.1","SRR2187354.5284826,SRR2187354.2040363"
"111","SRR2187354","2013-05-20","A","BACT_539|gi|238922432|ref|NC_012781.1|",1198337,1211368,"SRR2187354.1091847.1,SRR2187354.127674.1,SRR2187354.1298055.1,SRR2187354.1646330.1,SRR2187354.2651844.1,SRR2187354.4655387.1,SRR2187354.3053080.2,SRR2187354.537953.2","SRR2187354.3538188"
"112","SRR2187354","2013-05-20","A","BACT_413|gi|163805954|ref|NZ_ABGC03000023.1|",203463,211013,"SRR2187354.1061287.1,SRR2187354.1227854.1,SRR2187354.2409302.1,SRR2187354.4011167.1,SRR2187354.4512456.1,SRR2187354.5897508.1,SRR2187354.3296620.2","SRR2187354.5800989"
"249","SRR2237687","2013-05-20","A",NA,NA,NA,NA,NA
"250","SRR2237425","2013-05-20","A",NA,NA,NA,NA,NA
"251","SRR2237785","2013-05-20","A",NA,NA,NA,NA,NA
"252","SRR2236758","2013-05-20","A",NA,NA,NA,NA,NA
"177","SRR2221749","2013-05-21","A",NA,NA,NA,NA,NA
"178","SRR2221880","2013-05-21","A",NA,NA,NA,NA,NA
"179","SRR2221486","2013-05-21","A",NA,NA,NA,NA,NA
"180","SRR2221687","2013-05-21","A",NA,NA,NA,NA,NA
"199","SRR2199612","2013-05-21","A",NA,NA,NA,NA,NA
"194","SRR2194935","2013-05-22","A",NA,NA,NA,NA,NA
"261","SRR2237405","2013-05-22","A",NA,NA,NA,NA,NA
"262","SRR2237763","2013-05-22","A",NA,NA,NA,NA,NA
"263","SRR2236876","2013-05-22","A",NA,NA,NA,NA,NA
"264","SRR2237224","2013-05-22","A",NA,NA,NA,NA,NA
"8","SRR2187350","2013-05-23","A","BACT_413|gi|163805960|ref|NZ_ABGC03000029.1|",11675,19625,"SRR2187350.2165265.1,SRR2187350.4493185.1,SRR2187350.4585105.1,SRR2187350.634458.1,SRR2187350.2165265.2,SRR2187350.2715316.2,SRR2187350.2912060.2,SRR2187350.938924.2","SRR2187350.2715316,SRR2187350.2968503,SRR2187350.629452"
